Date,Open,High,Low,Close,Volume
1980-12-12,0.0982974842190742,0.0987248408674937,0.0982974842190742,0.0982974842190742,469033600
1980-12-15,0.0935966137512984,0.0935966137512984,0.0931692570447921,0.0931692570447921,175884800
1980-12-16,0.086758197027563,0.086758197027563,0.086330845952034,0.086330845952034,105728000
1980-12-17,0.0884676128625869,0.0888949696448536,0.0884676128625869,0.0884676128625869,86441600
1980-12-18,0.0910324975848198,0.0914598486178179,0.0910324975848198,0.0910324975848198,73449600
1980-12-19,0.0965881049633026,0.0970154617706759,0.0965881049633026,0.0965881049633026,48630400
1980-12-22,0.1012890264391899,0.101717147953476,0.1012890264391899,0.1012890264391899,37363200
1980-12-23,0.1055633053183555,0.1059906621250687,0.1055633053183555,0.1055633053183555,46950400
1980-12-24,0.1111188754439354,0.1115462321194067,0.1111188754439354,0.1111188754439354,48003200
1980-12-26,0.1213761419057846,0.1218034986168165,0.1213761419057846,0.1213761419057846,55574400
1980-12-29,0.1230855509638786,0.1235129076527808,0.1230855509638786,0.1230855509638786,93161600
1980-12-30,0.1205213687317791,0.1205213687317791,0.1200940236449241,0.1200940236449241,68880000
1980-12-31,0.1171026518028225,0.1171026518028225,0.1166752949357032,0.1166752949357032,35750400
1981-01-02,0.1179573237895965,0.1188120373040279,0.1179573237895965,0.1179573237895965,21660800
1981-01-05,0.1158205293890569,0.1158205293890569,0.1153931841254234,0.1153931841254234,35728000
1981-01-06,0.1106915238848226,0.1106915238848226,0.110264167189598,0.110264167189598,45158400
1981-01-07,0.1059906621250687,0.1059906621250687,0.1055633053183555,0.1055633053183555,55686400
1981-01-08,0.1038538688159156,0.1038538688159156,0.1034265235066413,0.1034265235066413,39827200
1981-01-09,0.1089820712804794,0.1094094278296896,0.1089820712804794,0.1089820712804794,21504000
1981-01-12,0.1089821322456083,0.1089821322456083,0.1081274300813674,0.1081274300813674,23699200
1981-01-13,0.1047086184325219,0.1047086184325219,0.104281261563301,0.104281261563301,23049600
1981-01-14,0.1047085747122764,0.1051359314030578,0.1047085747122764,0.1047085747122764,14291200
1981-01-15,0.10684534907341,0.1077000510612199,0.10684534907341,0.10684534907341,14067200
1981-01-16,0.1064179676173935,0.1064179676173935,0.1059906110167503,0.1059906110167503,13395200
1981-01-19,0.1124009117484092,0.1128282683390577,0.1124009117484092,0.1124009117484092,41574400
1981-01-20,0.1094094278296896,0.1094094278296896,0.1089820712804794,0.1089820712804794,30083200
1981-01-21,0.1111188754439354,0.1119735773825706,0.1111188754439354,0.1111188754439354,15904000
1981-01-22,0.1124009117484092,0.1132556249297062,0.1124009117484092,0.1124009117484092,35548800
1981-01-23,0.1124009254398157,0.1128282820825199,0.1119735687971115,0.1119735687971115,11222400
1981-01-26,0.1106915238848226,0.1106915238848226,0.110264167189598,0.110264167189598,24640000
1981-01-27,0.1102641833907251,0.1102641833907251,0.1094094812870025,0.1094094812870025,23699200
1981-01-28,0.1064179676173935,0.1064179676173935,0.1059906110167503,0.1059906110167503,28156800
1981-01-29,0.1025717916931477,0.1025717916931477,0.1021444350481033,0.1021444350481033,43904000
1981-01-30,0.0974428185780492,0.0974428185780492,0.0965881049633026,0.0965881049633026,46188800
1981-02-02,0.0914598486178179,0.0914598486178179,0.0910324975848198,0.0910324975848198,23766400
1981-02-03,0.0944513455033302,0.0948786966124763,0.0944513455033302,0.0944513455033302,19152000
1981-02-04,0.0978701561689376,0.0982975014800922,0.0978701561689376,0.0978701561689376,27865600
1981-02-05,0.0978701561689376,0.0987248582035554,0.0978701561689376,0.0978701561689376,7929600
1981-02-06,0.0982974842190742,0.0987248408674937,0.0982974842190742,0.0982974842190742,13865600
1981-02-09,0.0940239647516506,0.0940239647516506,0.0931692570447921,0.0931692570447921,16755200
1981-02-10,0.0931692570447921,0.0935966137512984,0.0931692570447921,0.0931692570447921,18345600
1981-02-11,0.0906051403611955,0.0906051403611955,0.0901777893304824,0.0901777893304824,13843200
1981-02-12,0.0897504500121673,0.0897504500121673,0.0893223285675048,0.0893223285675048,14560000
1981-02-13,0.0880402470202355,0.0880402470202355,0.0871855393052101,0.0871855393052101,11155200
1981-02-17,0.0893223285675048,0.0897504500121673,0.0893223285675048,0.0893223285675048,12275200
1981-02-18,0.0931692570447921,0.0940239647516506,0.0931692570447921,0.0931692570447921,19241600
1981-02-19,0.088040253901662,0.088040253901662,0.087612897157669,0.087612897157669,22310400
1981-02-20,0.0833393697081812,0.0833393697081812,0.0829120129346847,0.0829120129346847,24371200
1981-02-23,0.084194041788578,0.0846213984095233,0.084194041788578,0.084194041788578,14112000
1981-02-24,0.0820572892001382,0.0820572892001382,0.0812025815248489,0.0812025815248489,16979200
1981-02-25,0.086330845952034,0.086758197027563,0.086330845952034,0.086330845952034,19488000
1981-02-26,0.087612897157669,0.088040253901662,0.087612897157669,0.087612897157669,10841600
1981-02-27,0.0906051620841026,0.0914598700566025,0.0906051620841026,0.0906051620841026,14761600
1981-03-02,0.0910324975848198,0.0914598486178179,0.0910324975848198,0.0910324975848198,11760000
1981-03-03,0.0901778106677512,0.0901778106677512,0.0897504538297653,0.0897504538297653,16172800
1981-03-04,0.089322314309904,0.089322314309904,0.0888949632644653,0.0888949632644653,13708800
1981-03-05,0.0888949696448536,0.0888949696448536,0.0884676128625869,0.0884676128625869,5376000
1981-03-06,0.0884676049395004,0.0884676049395004,0.087612897157669,0.087612897157669,11603200
1981-03-09,0.0812025746206222,0.0812025746206222,0.0807752236723899,0.0807752236723899,15321600
1981-03-10,0.0773556013204629,0.0773556013204629,0.0769282504916191,0.0769282504916191,28380800
1981-03-11,0.0747915053407119,0.0747915053407119,0.0739367976784706,0.0739367976784706,29859200
1981-03-12,0.0769282504916191,0.0773556013204629,0.0769282504916191,0.0769282504916191,59248000
1981-03-13,0.076500967985473,0.076500967985473,0.0760736167430877,0.0760736167430877,231302400
1981-03-16,0.0790658220648765,0.079920529814487,0.0790658220648765,0.0790658220648765,37228800
1981-03-17,0.0829120129346847,0.0837667207755227,0.0829120129346847,0.0829120129346847,43747200
1981-03-18,0.0880402401089668,0.0888949477568966,0.0880402401089668,0.0880402401089668,36937600
1981-03-19,0.0876128903096457,0.0876128903096457,0.0871855393052101,0.0871855393052101,37811200
1981-03-20,0.0880402401089668,0.0888949477568966,0.0880402401089668,0.0880402401089668,14604800
