iter	Logloss
370	0.5246999819
371	0.5246724805
372	0.5246313091
373	0.5245989156
374	0.5245742528
375	0.5245474341
376	0.524504859
377	0.5244722209
378	0.5244309877
379	0.5243724109
380	0.5243311307
381	0.5242750541
382	0.5242487018
383	0.5242152529
384	0.5241659996
385	0.5241264713
386	0.5240918589
387	0.5240259407
388	0.5239854903
389	0.5239457082
390	0.5238900214
391	0.5238354497
392	0.5237930666
393	0.5237499686
394	0.523693612
395	0.5236530624
396	0.5236000723
397	0.5235669305
398	0.5235309693
399	0.523484224
400	0.52345734
401	0.5234236794
402	0.5233889708
403	0.5233564834
404	0.5232967955
405	0.5232711475
406	0.523236813
407	0.5232010329
408	0.523173082
409	0.5231345755
410	0.5231020029
411	0.5230652301
412	0.5230342053
413	0.5229708052
414	0.5229101091
415	0.5228792976
416	0.5228314925
417	0.5227896476
418	0.5227509319
419	0.5227080786
420	0.5226806968
421	0.522644922
422	0.5226191274
423	0.522570091
424	0.5225321312
425	0.5224814064
426	0.5224492982
427	0.5224166527
428	0.5223905708
429	0.522311519
430	0.5222684757
431	0.5222408544
432	0.5222090593
433	0.5221511199
434	0.5221109677
435	0.5220726145
436	0.5220253509
437	0.5220011129
438	0.5219408779
439	0.5219060943
440	0.5218698105
441	0.5218426218
442	0.5218092643
443	0.5217728077
444	0.521751195
445	0.5217213552
446	0.5216752375
447	0.521646414
448	0.5216253718
449	0.5215942424
450	0.5215488155
451	0.5215104861
452	0.5214806709
453	0.5214072008
454	0.5213718259
455	0.5213465302
456	0.5213171814
457	0.521271562
458	0.5212287561
459	0.5211735109
460	0.5211471447
461	0.5211276151
462	0.5210756303
463	0.5210481896
464	0.5210230089
465	0.5209871882
466	0.5209474553
467	0.5209170182
468	0.520867803
469	0.5207950773
470	0.520768204
471	0.5207210996
472	0.5206606359
473	0.5206416577
474	0.5206154374
475	0.5205678396
476	0.5205295626
477	0.520498346
478	0.5204826731
479	0.5204517879
480	0.5204185014
481	0.5203937343
482	0.5203626941
483	0.5203083311
484	0.5202804383
485	0.5202491885
486	0.520209723
487	0.5201652099
488	0.5201169321
489	0.5200956411
490	0.5200690424
491	0.5200214222
492	0.519985489
493	0.519963445
494	0.5199307817
495	0.5198897239
496	0.5198671177
497	0.5198280397
498	0.519794384
499	0.5197506079
