iter	Logloss
0	0.6722721823
1	0.6550775521
2	0.6417173875
3	0.6304226891
4	0.6215680221
5	0.6138213558
6	0.6074496641
7	0.6026797286
8	0.5983988568
9	0.5947265423
10	0.5918458677
11	0.588962914
12	0.5865890161
13	0.5845059004
14	0.5826978196
15	0.5810502392
16	0.5792421336
17	0.5777615759
18	0.5766330005
19	0.5755586979
20	0.5747322362
21	0.5735894899
22	0.5727544361
23	0.5715162889
24	0.5705779615
25	0.5700081122
26	0.5693723715
27	0.5687801936
28	0.5681448923
29	0.5675832532
30	0.5669210856
31	0.566228998
32	0.5655743069
33	0.5650312599
34	0.5644832407
35	0.5638973396
36	0.5633122122
37	0.5627867746
38	0.5625522981
39	0.5620642034
40	0.5618052169
41	0.561521494
42	0.5609457957
43	0.5605794015
44	0.5603661371
45	0.5597212934
46	0.5592966085
47	0.5588181351
48	0.5583876235
49	0.5581580929
50	0.5579768959
51	0.5574980028
52	0.5571941984
53	0.5569389083
54	0.5567473523
55	0.5565177158
56	0.5563134982
57	0.5561594876
58	0.5558687179
59	0.5555957713
60	0.5552617266
61	0.555091093
62	0.5548979647
63	0.5547080689
64	0.5545776671
65	0.5542252505
66	0.5541265577
67	0.5537515532
68	0.5533430879
69	0.5529534529
70	0.5527624399
71	0.5526101358
72	0.5523893711
73	0.5522096787
74	0.5519912323
75	0.5518079784
76	0.5516372344
77	0.551499469
78	0.5513395801
79	0.5510425107
80	0.5506403091
81	0.5505105934
82	0.5503585798
83	0.5500487518
84	0.5497654883
85	0.5495592491
86	0.5493365609
87	0.5490202772
88	0.5488008119
89	0.5486702739
90	0.5485020739
91	0.548260748
92	0.5481484444
93	0.5479437341
94	0.5477174686
95	0.5476324771
96	0.5473903278
97	0.5472346376
98	0.5470826029
99	0.5469298898
100	0.5467937253
101	0.546710544
102	0.546638632
103	0.5464718668
104	0.5462713766
105	0.5460928271
106	0.5458910877
107	0.5457609795
108	0.5456531322
109	0.545491266
110	0.5454072424
111	0.5453066957
112	0.5452120058
113	0.5450577149
114	0.5449220457
115	0.5448327505
116	0.544696048
117	0.5446139111
118	0.5443975618
119	0.5442664659
120	0.5441678575
121	0.5439990169
122	0.5437773561
123	0.5436566082
124	0.543494766
125	0.5433234722
126	0.5431751244
127	0.5430982935
128	0.5429507283
129	0.5428582833
130	0.5427085721
131	0.5424634202
132	0.5423936285
133	0.5423247602
134	0.5422423834
135	0.5421361674
136	0.5420396576
137	0.5418171886
138	0.5416711106
139	0.5415899143
140	0.5414823622
141	0.5413903499
142	0.5412627594
143	0.5411213961
144	0.5409769809
145	0.5408819511
146	0.5408118785
147	0.5407462696
148	0.5406592239
149	0.5405324768
150	0.5404494907
151	0.5402743122
152	0.5401084141
153	0.5399583349
154	0.5398427964
155	0.5397521829
156	0.5395548822
157	0.5394393596
158	0.5393061204
159	0.5391591569
160	0.5390616874
161	0.538955539
162	0.5387800443
163	0.538612498
164	0.538505588
165	0.5383882238
166	0.5382969259
167	0.5381743482
168	0.5380585838
169	0.537928704
170	0.5378749701
171	0.5377884476
172	0.537735591
173	0.5376117357
174	0.5375143794
175	0.5373495113
176	0.5372167117
177	0.5371060935
178	0.5369855922
179	0.5368754683
180	0.5367837177
181	0.5366854408
182	0.5366062273
183	0.5365248631
184	0.5364311268
185	0.5363660266
186	0.5362504899
187	0.5361690508
188	0.5360937149
189	0.5360181984
190	0.535964463
191	0.5359126123
192	0.5358395916
193	0.5357476311
194	0.5356692054
195	0.5355755074
196	0.5355015652
197	0.5354392458
198	0.5353746921
199	0.5352480733
200	0.5350697434
201	0.5349488059
202	0.5348957135
203	0.5347838068
204	0.5347152105
205	0.534640176
206	0.5345692225
207	0.5344472291
208	0.5343188247
209	0.5342556656
210	0.5341566739
211	0.5340846055
212	0.533977376
213	0.5338720055
214	0.5337980871
215	0.5337242621
216	0.533650321
217	0.5335191948
218	0.5333976678
219	0.5332769717
220	0.5332382234
221	0.5331555882
222	0.5330914437
223	0.5330060394
224	0.5329520341
225	0.5328857742
226	0.5327936417
227	0.532678508
228	0.5326038326
229	0.5324877361
230	0.5324301139
231	0.5323503094
232	0.532237944
233	0.5321909093
234	0.5321402733
235	0.5320833564
236	0.5320347962
237	0.5319504749
238	0.5319026268
239	0.5318347259
240	0.5317929711
241	0.5316858727
242	0.531626175
243	0.5315584023
244	0.5314689869
245	0.5314356851
246	0.5313597584
247	0.5312538912
248	0.5311921589
249	0.5311483146
250	0.5310548638
251	0.5309983569
252	0.530962491
253	0.5308889992
254	0.5308552448
255	0.5307806581
256	0.5307216028
257	0.5306503732
258	0.53055379
259	0.5304829012
260	0.5304161042
261	0.5303944901
262	0.5303584489
263	0.5302772429
264	0.5301724122
265	0.5300849739
266	0.5300164259
267	0.5299495209
268	0.5299087887
269	0.5298748278
270	0.5298075049
271	0.5297360618
272	0.5296587341
273	0.5295400801
274	0.5294866079
275	0.5293888986
276	0.5293408718
277	0.5292858423
278	0.5292343318
279	0.52917184
280	0.5291179263
281	0.5290811826
282	0.5290308327
283	0.5289700642
284	0.5288940418
285	0.5288406626
286	0.5288032409
287	0.5287518077
288	0.5287028992
289	0.5286715936
290	0.5286202868
291	0.5285801509
292	0.5284961632
293	0.5284633661
294	0.5284236064
295	0.5283568247
296	0.5282986761
297	0.5282617229
298	0.5282334104
299	0.5282019299
300	0.5281725122
301	0.5281158894
302	0.5280383796
303	0.5279997245
304	0.5279707629
305	0.5279222724
306	0.5278928827
307	0.527867177
308	0.5277623654
309	0.5277387114
310	0.527678099
311	0.527621629
312	0.5275603595
313	0.5275077012
314	0.527462419
315	0.5273885926
316	0.5273008676
317	0.5272770177
318	0.5272168583
319	0.5271795651
320	0.5271481079
321	0.5270667706
322	0.5270377905
323	0.5269929369
324	0.526957285
325	0.5268949703
326	0.5268340328
327	0.5267829747
328	0.5267023258
329	0.526677711
330	0.5266024516
331	0.5265584562
332	0.5265176115
333	0.5264749524
334	0.5264354254
335	0.5263802432
336	0.5263622961
337	0.5263084654
338	0.5262673782
339	0.5262145164
340	0.5261516296
341	0.5261011947
342	0.5259908557
343	0.5259449519
344	0.525888874
345	0.5258424994
346	0.52578264
347	0.5257467497
348	0.5257046737
349	0.5256748953
350	0.5256344318
351	0.5256046244
352	0.5255864453
353	0.5255245135
354	0.5254833357
355	0.5254583148
356	0.5254116377
357	0.5253677407
358	0.5252970286
359	0.5252525971
360	0.5252218009
361	0.5251875036
362	0.5251571377
363	0.5251347918
364	0.5250744779
365	0.5249584123
366	0.5249028634
367	0.5248598198
368	0.5247890099
369	0.5247516277
